surface,winner_rank,loser_rank
Clay,2,78
Clay,1,5
Clay,4,11
Clay,3,28
Clay,2,7
Clay,4,1
Clay,2,3
Clay,2,4
Hard,4,6
Hard,4,7
Hard,6,13
Hard,7,1
Hard,4,12
Hard,13,5
Hard,6,3
Hard,1,17
Hard,7,34
Hard,4,248
Hard,12,9
Hard,13,10
Hard,5,26
Hard,6,33
Hard,3,14
Hard,1,36
Hard,17,22
Hard,34,11
Hard,7,19
Hard,4,64
Hard,248,63
Hard,12,289
Hard,9,29
Hard,10,40
Hard,13,32
Hard,26,23
Hard,5,37
Hard,6,71
Hard,33,58
Hard,14,57
Hard,3,46
Hard,36,51
Hard,22,231
Hard,17,24
Hard,11,55
Hard,34,179
Hard,19,54
Hard,64,49
Hard,63,60
Hard,248,16
Hard,12,45
Hard,289,56
Hard,29,41
Hard,40,31
Hard,32,48
Hard,13,38
Hard,26,47
Hard,23,69
Hard,37,338
Hard,71,42
Hard,58,21
Hard,33,15
Hard,14,52
Hard,57,50
Hard,46,25
Hard,6,100
Hard,6,30
Hard,100,
Hard,6,81
Hard,30,52
Hard,,45
Hard,100,95
Hard,6,93
Hard,81,141
Hard,30,91
Hard,52,89
Hard,,103
Hard,45,132
Hard,100,97
Hard,95,25
Hard,93,392
Hard,141,92
Hard,81,98
Hard,91,86
Hard,89,149
Hard,52,120
Hard,,73
Hard,103,110
Hard,132,96
Hard,97,82
Hard,100,108
Hard,95,104
Clay,73,95
Clay,95,241
Clay,73,71
Clay,241,67
Clay,95,112
Clay,71,372
Clay,73,126
Clay,241,39
